size,cublas,student,percent_cublas
128,548.924,127.883,23.29703201171747
256,2828.79,604.583,21.37249495367277
512,6617.605,2604.931,39.36365195565465
1024,9340.94,9546.964,102.20560243401627
2048,10798.13,11951.116,110.67764511077382
4096,14222.783,12847.869,90.33301710361468
