testcase,circles,time_s,speedup,efficiency,imbalance_max_mean,throughput_mcircles_s,verify
imbalance_c100000,100000,0.068,2.426470588235294,0.15165441176470587,1.33,1.4705882352941175,OK
medium_c200000,200000,0.098,3.7551020408163263,0.2346938775510204,1.19,2.0408163265306123,OK
large_c1000000,1000000,0.163,10.920245398773005,0.6825153374233128,1.21,6.134969325153374,OK
large_c2000000,2000000,0.284,11.746478873239438,0.7341549295774649,1.23,7.042253521126761,OK
large_c4000000,4000000,0.47,9.646808510638298,0.6029255319148936,1.1,8.51063829787234,OK
