testcase,circles,time_s,speedup,efficiency,imbalance_max_mean,throughput_mcircles_s,verify
imbalance_c100000,100000,0.065,2.5384615384615383,0.039663461538461536,1.64,1.5384615384615385,OK
medium_c200000,200000,0.09,4.088888888888889,0.06388888888888888,1.38,2.2222222222222223,OK
large_c1000000,1000000,0.153,11.633986928104575,0.18178104575163398,1.28,6.535947712418301,OK
large_c2000000,2000000,0.252,13.238095238095237,0.20684523809523808,1.48,7.936507936507937,OK
large_c4000000,4000000,0.445,10.18876404494382,0.1591994382022472,1.27,8.98876404494382,OK
